activation_scale,energy_scope,excluded,baseline_checkpoint,cmm_crosssim_checkpoint,crosssim_only_checkpoint,vread_v,pulse_ns,sample_limit,processed_images,crosssim_only_processed_images,activation_vectors_per_tile,token_vectors_seen_per_layer_sum,crosssim_only_token_vectors_seen_per_layer_sum,r_on_ohm,r_off_ohm,tile_shape,adc_resolution,dac_resolution,read_noise_std,write_noise_std,digital_reference_scope,digital_mac_energy_pj,digital_mac_model,tile_rank,tile_id,layer_name,group,polarity,core_row,core_col,row_start,row_end,col_start,col_end,g_raw_min,g_raw_max,g_raw_mean,r_min_ohm,r_max_ohm,r_mean_ohm,tile_total_energy_j,tile_total_read_current_a,tile_mean_vector_power_w,tile_mean_vector_read_current_a,vector_count,nonzero_vector_count
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,layers.0.cross_attn.k_proj|r0c0|neg,layers.0.cross_attn.k_proj,cross_attn,neg,0,0,0,128,0,128,0.009999999776482582,0.9369531869888306,0.11034853466395589,1066.5714942237764,50251.25684018647,29404.36649364415,2.515566992299694e-07,552.5617561516001,0.002566905094183366,0.056383852668530625,9800,9800
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,layers.0.cross_attn.k_proj|r0c0|pos,layers.0.cross_attn.k_proj,cross_attn,pos,0,0,0,128,0,128,0.009999999776482582,1.0,0.1113767968225261,1000.0,50251.25684018647,29261.59328689229,2.542812102505795e-07,557.9129594851355,0.0025947062270467434,0.05692989382501382,9800,9800
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,layers.0.cross_attn.k_proj|r0c1|neg,layers.0.cross_attn.k_proj,cross_attn,neg,0,1,0,128,128,256,0.009999999776482582,0.930789053440094,0.10931057471589156,1073.5590152790282,50251.25684018647,29537.60994623767,2.493974975846683e-07,547.524730880038,0.002544872424333326,0.055869870497963055,9800,9800
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,layers.0.cross_attn.k_proj|r0c1|pos,layers.0.cross_attn.k_proj,cross_attn,pos,0,1,0,128,128,256,0.009999999776482582,0.9039799571037292,0.11161702110763372,1105.0454460176543,50251.25684018647,29053.112919814586,2.538952177742065e-07,557.6822432466578,0.0025907675283082334,0.056906351351699774,9800,9800
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,layers.0.cross_attn.k_proj|r1c0|neg,layers.0.cross_attn.k_proj,cross_attn,neg,1,0,128,256,0,128,0.009999999776482582,0.8472555875778198,0.11402795108102737,1178.1573884608968,50251.25684018647,29320.728476278193,2.595129061117949e-07,569.7153330492481,0.002648090878691816,0.05813421765808654,9800,9800
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,layers.0.cross_attn.k_proj|r1c0|pos,layers.0.cross_attn.k_proj,cross_attn,pos,1,0,128,256,0,128,0.009999999776482582,0.9303709268569946,0.11383506812211408,1074.0363113525996,50251.25684018647,29163.14361225374,2.589923929383239e-07,568.7621548514433,0.0026427795197788316,0.05803695457667788,9800,9800
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,layers.0.cross_attn.k_proj|r1c1|neg,layers.0.cross_attn.k_proj,cross_attn,neg,1,1,128,256,128,256,0.009999999776482582,0.8297969698905945,0.11373039546816699,1202.6472668872318,50251.25684018647,29295.85996468827,2.585847453919247e-07,567.6907187568304,0.002638619850938015,0.057927624362941875,9800,9800
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,layers.0.cross_attn.k_proj|r1c1|pos,layers.0.cross_attn.k_proj,cross_attn,pos,1,1,128,256,128,256,0.009999999776482582,0.9517184495925903,0.11475257466378253,1050.1981426148213,50251.25684018647,29126.615082538236,2.6040096705615144e-07,572.0263337777927,0.0026571527250627584,0.058370034058958443,9800,9800
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,layers.0.cross_attn.o_proj|r0c0|neg,layers.0.cross_attn.o_proj,cross_attn,neg,0,0,0,128,0,128,0.009999999776482582,0.8896468877792358,0.11578427088005583,1122.6489247496434,50251.25684018647,29091.930321130643,4.55381518242372e-08,107.84173698587722,0.0020927459478050116,0.049559621776597985,2176,2176
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,checkpoints\caption_transformer_crosssim_decoder.pt,0.1,10.0,200,200,200,9800,76192,76192,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,0.9,configurable_reference,,layers.0.cross_attn.o_proj|r0c0|pos,layers.0.cross_attn.o_proj,cross_attn,pos,0,0,0,128,0,128,0.009999999776482582,0.8693723082542419,0.11378834017415329,1148.5294539577978,50251.25684018647,29377.88157295858,4.502813279808172e-08,106.42268716654455,0.00206930757344126,0.04890748491109584,2176,2176
