activation_scale,energy_scope,excluded,baseline_checkpoint,cmm_crosssim_checkpoint,vread_v,pulse_ns,sample_limit,processed_images,activation_vectors_per_tile,token_vectors_seen_per_layer_sum,r_on_ohm,r_off_ohm,tile_shape,adc_resolution,dac_resolution,read_noise_std,write_noise_std,digital_reference_scope,digital_mac_energy_pj,digital_mac_model,layer_name,group,in_features,out_features,activation_vector_count,macs_per_vector,digital_mac_count,digital_mac_energy_j
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,0.1,10.0,16,16,784,6162,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,1.0,configurable_reference,layers.0.cross_attn.k_proj,cross_attn,256,256,784,65536,51380224,5.1380224e-05
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,0.1,10.0,16,16,784,6162,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,1.0,configurable_reference,layers.0.cross_attn.o_proj,cross_attn,256,256,178,65536,11665408,1.1665408e-05
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,0.1,10.0,16,16,784,6162,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,1.0,configurable_reference,layers.0.cross_attn.q_proj,cross_attn,256,256,178,65536,11665408,1.1665408e-05
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,0.1,10.0,16,16,784,6162,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,1.0,configurable_reference,layers.0.cross_attn.v_proj,cross_attn,256,256,784,65536,51380224,5.1380224e-05
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,0.1,10.0,16,16,784,6162,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,1.0,configurable_reference,layers.0.ffn.0,ffn,256,1024,178,262144,46661632,4.6661632e-05
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,0.1,10.0,16,16,784,6162,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,1.0,configurable_reference,layers.0.ffn.3,ffn,1024,256,178,262144,46661632,4.6661632e-05
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,0.1,10.0,16,16,784,6162,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,1.0,configurable_reference,layers.0.self_attn.k_proj,self_attn,256,256,178,65536,11665408,1.1665408e-05
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,0.1,10.0,16,16,784,6162,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,1.0,configurable_reference,layers.0.self_attn.o_proj,self_attn,256,256,178,65536,11665408,1.1665408e-05
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,0.1,10.0,16,16,784,6162,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,1.0,configurable_reference,layers.0.self_attn.q_proj,self_attn,256,256,178,65536,11665408,1.1665408e-05
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,0.1,10.0,16,16,784,6162,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,1.0,configurable_reference,layers.0.self_attn.v_proj,self_attn,256,256,178,65536,11665408,1.1665408e-05
