activation_scale,energy_scope,excluded,baseline_checkpoint,cmm_crosssim_checkpoint,vread_v,pulse_ns,sample_limit,processed_images,activation_vectors_per_tile,token_vectors_seen_per_layer_sum,r_on_ohm,r_off_ohm,tile_shape,adc_resolution,dac_resolution,read_noise_std,write_noise_std,digital_reference_scope,digital_mac_energy_pj,digital_mac_model,tile_rank,tile_id,layer_name,group,polarity,core_row,core_col,row_start,row_end,col_start,col_end,g_raw_min,g_raw_max,g_raw_mean,r_min_ohm,r_max_ohm,r_mean_ohm,tile_total_energy_j,tile_total_read_current_a,tile_mean_vector_power_w,tile_mean_vector_read_current_a,vector_count,nonzero_vector_count
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,0.1,10.0,16,16,784,6162,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,1.0,configurable_reference,,layers.0.cross_attn.k_proj|r0c0|neg,layers.0.cross_attn.k_proj,cross_attn,neg,0,0,0,128,0,128,0.00959396066392489,0.9368820880895354,0.11034938815959924,1066.6515717451214,51287.25613035173,29404.536991063123,2.046807963747877e-08,44.761732454494464,0.002610724443555964,0.05709404649807967,784,784
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,0.1,10.0,16,16,784,6162,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,1.0,configurable_reference,,layers.0.cross_attn.k_proj|r0c0|pos,layers.0.cross_attn.k_proj,cross_attn,pos,0,0,0,128,0,128,0.009592644106547619,1.0000675586331431,0.11137646474392329,999.9331214262311,51290.68477872275,29262.744853223707,2.074548277292895e-08,45.248768900057,0.002646107496547061,0.05771526645415434,784,784
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,0.1,10.0,16,16,784,6162,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,1.0,configurable_reference,,layers.0.cross_attn.k_proj|r0c1|neg,layers.0.cross_attn.k_proj,cross_attn,neg,0,1,0,128,128,256,0.009628748429146282,0.9308437698213475,0.1093110943799607,1073.496587317652,51196.82577752277,29537.073051667816,1.9529241741124963e-08,43.30721232472118,0.002490974711878187,0.05523879123051171,784,784
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,0.1,10.0,16,16,784,6162,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,1.0,configurable_reference,,layers.0.cross_attn.k_proj|r0c1|pos,layers.0.cross_attn.k_proj,cross_attn,pos,0,1,0,128,128,256,0.009595727716296226,0.9041018985027596,0.1116167062372785,1104.898048994071,51282.654999524624,29054.694149940242,1.9864621862100503e-08,44.11436100680035,0.0025337527885332207,0.056268317610714734,784,784
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,0.1,10.0,16,16,784,6162,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,1.0,configurable_reference,,layers.0.cross_attn.k_proj|r1c0|neg,layers.0.cross_attn.k_proj,cross_attn,neg,1,0,128,256,0,128,0.009649810476442332,0.8472898457838433,0.11402848885703246,1178.1103135961898,51142.23007291874,29321.322382294355,2.1134714635014852e-08,46.16984438036319,0.0026957544177314834,0.05889010762801427,784,784
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,0.1,10.0,16,16,784,6162,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,1.0,configurable_reference,,layers.0.cross_attn.k_proj|r1c0|pos,layers.0.cross_attn.k_proj,cross_attn,pos,1,0,128,256,0,128,0.009547417165170297,0.9304285331373419,0.11383535169163632,1073.970527946539,51408.746176831846,29163.085721264673,2.11502148713816e-08,46.16674250920838,0.002697731488696629,0.058886151159704574,784,784
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,0.1,10.0,16,16,784,6162,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,1.0,configurable_reference,,layers.0.cross_attn.k_proj|r1c1|neg,layers.0.cross_attn.k_proj,cross_attn,neg,1,1,128,256,128,256,0.009606384788934013,0.8296759724931914,0.11373032702023858,1202.8205476418887,51254.92312616234,29298.20643982198,2.0226756533928937e-08,44.894289265016724,0.002579943435450123,0.057263124062521334,784,784
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,0.1,10.0,16,16,784,6162,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,1.0,configurable_reference,,layers.0.cross_attn.k_proj|r1c1|pos,layers.0.cross_attn.k_proj,cross_attn,pos,1,1,128,256,128,256,0.00965389117148636,0.9516808282442106,0.114751583944624,1050.2392224820176,51131.66581638713,29128.57311180365,2.0372388658342726e-08,45.24416155940366,0.002598518961523307,0.05770938974413732,784,784
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,0.1,10.0,16,16,784,6162,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,1.0,configurable_reference,,layers.0.cross_attn.o_proj|r0c0|neg,layers.0.cross_attn.o_proj,cross_attn,neg,0,0,0,128,0,128,0.009598773228230785,0.8896060321913963,0.11578512065128126,1122.6999041013678,51274.72689517816,29091.23670141121,3.573808540451391e-09,8.536243323221674,0.002007757606995162,0.047956423164166706,178,178
per_vector,crossbar_core_read_only,"adc,dac,sense,digital_bias,layernorm,softmax,residual,encoder",checkpoints\caption_transformer_epoch_10.pt,checkpoints\caption_transformer_array-128x128_cmm_crosssim.pt,0.1,10.0,16,16,784,6162,1000.0,100000.0,128x128,10,0,0.0001,0.0001,same_decoder_mapped_linear_mac_only,1.0,configurable_reference,,layers.0.cross_attn.o_proj|r0c0|pos,layers.0.cross_attn.o_proj,cross_attn,pos,0,0,0,128,0,128,0.009666360599430247,0.8693813999185079,0.11378806410307439,1148.5175810151713,51099.41152054727,29377.299907930228,3.545129349074389e-09,8.42996969157326,0.001991645701727184,0.04735938028973742,178,178
